article_quality,revision_id,article_name,country,population
Stub,446192353,Template:Belgium-mayor-stub,Belgium,11211064
Stub,540996510,Template:Belgium-diplomat-stub,Belgium,11211064
Stub,666029819,Firmin Aerts,Belgium,11211064
Stub,668918611,Template:Belgium-politician-stub,Belgium,11211064
Stub,688590526,Joseph Gustave Ernest Allard,Belgium,11211064
Stub,692684868,Marie-José Laloy,Belgium,11211064
Stub,704001951,Jacques Germeaux,Belgium,11211064
Start,705775235,Fons Borginon,Belgium,11211064
Stub,706714887,Franciscus van Hombeeck,Belgium,11211064
Stub,708196632,Erik Derycke (politician),Belgium,11211064
Start,708933883,Gaston Geens,Belgium,11211064
Stub,709475261,Pierre Chevalier (politician),Belgium,11211064
Stub,709452592,Mimount Bousakla,Belgium,11211064
Start,709493229,Jacques Van Gompel,Belgium,11211064
Stub,709978263,Guy Hance,Belgium,11211064
Stub,710638406,Albert Devèze,Belgium,11211064
Stub,710638620,Émile Coulonvaux,Belgium,11211064
Stub,710638943,Henri Liebaert,Belgium,11211064
Stub,710930649,Victor Sabbe,Belgium,11211064
Stub,710930832,Louis D'Haeseleer,Belgium,11211064
Stub,710645743,Norbert Hougardy,Belgium,11211064
Stub,710930776,Jules Boedt,Belgium,11211064
Stub,710891170,Louis Waltniel,Belgium,11211064
Start,710646792,Paul Janson,Belgium,11211064
Stub,710882367,Édouard Pecher,Belgium,11211064
Stub,710639013,Maurice Destenay,Belgium,11211064
Start,711870030,"Julius Hoste, Jr.",Belgium,11211064
B,712024080,Jan-Baptist Verlooy,Belgium,11211064
Stub,711995045,Jacques Van Offelen,Belgium,11211064
Stub,712434031,Hilde Houben-Bertrand,Belgium,11211064
Stub,712144930,Paul Finet,Belgium,11211064
Start,712110777,Dominique Struye de Swielande,Belgium,11211064
Stub,711966404,Paul Mercier (Bloc Québécois MP),Belgium,11211064
Stub,713431172,Henri Colson,Belgium,11211064
Stub,713293653,Bettina Geysen,Belgium,11211064
Start,713418120,Lucienne Herman-Michielsens,Belgium,11211064
Stub,713312382,Robert Vandeputte,Belgium,11211064
Stub,714187387,Lucie Dejardin,Belgium,11211064
Start,714509812,Gustave Sap,Belgium,11211064
Start,714218058,Henri Story,Belgium,11211064
Stub,714589192,Pol Boël,Belgium,11211064
Stub,715092220,Fredegand Cogels,Belgium,11211064
Stub,715090949,Jan Teichmann,Belgium,11211064
Start,715166348,Jan Grauls,Belgium,11211064
Start,716581805,Gustave Boël,Belgium,11211064
Stub,716639292,Michel Delacroix (politician),Belgium,11211064
Stub,716638953,José Daras,Belgium,11211064
Stub,716584836,Ferdinand Elbers,Belgium,11211064
Stub,716648058,André Van Nieuwkerke,Belgium,11211064
Stub,716652020,Paul Wille,Belgium,11211064
Stub,716647502,Elke Tindemans,Belgium,11211064
Stub,716366406,Jean-Louis van Aelbroeck,Belgium,11211064
Stub,716645878,Margriet Hermans,Belgium,11211064
Stub,717552507,Jean Leclercq (politician),Belgium,11211064
Stub,717483851,Hervé Brouhon,Belgium,11211064
Stub,717913267,Lieve Van Ermen,Belgium,11211064
Stub,717917231,Patrick van Ypersele de Strihou,Belgium,11211064
Stub,717923376,Marcel Van Langenhove (referee),Belgium,11211064
Stub,717921487,Nele Lijnen,Belgium,11211064
Stub,718402565,Jos Geysels,Belgium,11211064
Start,719039624,Jean-Nicolas Bassenge,Belgium,11211064
Stub,721523492,Geert Lambert,Belgium,11211064
Stub,722985779,Els Schelfhout,Belgium,11211064
Stub,722780352,Pierre Imperiali,Belgium,11211064
Stub,723416711,Piet De Bruyn,Belgium,11211064
Stub,724151794,Paul Tant,Belgium,11211064
Stub,724706545,Alexandre Gendebien,Belgium,11211064
Stub,724707072,François-Philippe de Haussy,Belgium,11211064
Stub,724444018,Robby De Caluwé,Belgium,11211064
Stub,725627784,Adolphe Allard,Belgium,11211064
Start,726549283,Pol Clovis Boël,Belgium,11211064
Stub,726547172,Hippolyte Rolin,Belgium,11211064
Start,726837967,Walter De Donder,Belgium,11211064
Stub,728007012,Adolphe Bartels,Belgium,11211064
Stub,729097918,Paul-François Huart-Chapel,Belgium,11211064
Start,732214547,Cathy Berx,Belgium,11211064
Stub,732333294,Arthur Vanderpoorten,Belgium,11211064
Stub,732227753,Milou Jeunehomme,Belgium,11211064
Stub,732269171,Laurent Merchiers,Belgium,11211064
Start,732256667,Sandor Szondi,Belgium,11211064
Stub,732246853,Pierre Van Humbeeck,Belgium,11211064
Stub,733742096,Gilbert Temmerman,Belgium,11211064
Stub,734125673,Lydia De Pauw,Belgium,11211064
Stub,734486299,Hugo Adriaensens,Belgium,11211064
Stub,737214532,Paula D'Hondt,Belgium,11211064
Stub,738013030,Louis Van Geyt,Belgium,11211064
Stub,738069819,Victor Albert,Belgium,11211064
Stub,739189449,Pierre-Yves Monette,Belgium,11211064
Stub,739777014,Dany Vandenbossche,Belgium,11211064
Start,742678689,Jacob van Artevelde,Belgium,11211064
Start,743699049,Manuel Abramowicz,Belgium,11211064
Stub,744163651,André Kempinaire,Belgium,11211064
Stub,744155652,André-Eugène Pirson,Belgium,11211064
Start,746564611,Roger Lallemand,Belgium,11211064
Stub,746916409,Jaak Gabriëls,Belgium,11211064
Start,747014045,Jean Richardot the Younger,Belgium,11211064
Stub,747150965,Bert Van Hoorick,Belgium,11211064
Start,748245092,Isabelle Blume,Belgium,11211064
Stub,749323058,Richard Declerck,Belgium,11211064
Stub,749444528,Henri Rolin,Belgium,11211064
Stub,749416425,List of Belgian political scandals,Belgium,11211064
Stub,750498097,Georges Holvoet,Belgium,11211064
B,750158374,Anselm Adornes,Belgium,11211064
Start,753348263,Georges Dallemagne,Belgium,11211064
Start,752980928,Eugène Goblet d'Alviella,Belgium,11211064
Stub,753409238,Laurent Veydt,Belgium,11211064
Stub,753403718,Auguste Duvivier,Belgium,11211064
Stub,752985923,Marc Verwilghen,Belgium,11211064
Start,753408462,Alain Zenner,Belgium,11211064
Start,753650342,Léandre Desmaisières,Belgium,11211064
B,754208030,Joris Van Severen,Belgium,11211064
Stub,755482261,Eric Defoort,Belgium,11211064
Start,755150876,Edouard Mercier,Belgium,11211064
Stub,756652841,Frank Boogaerts,Belgium,11211064
Stub,756653274,Luc Sevenhans,Belgium,11211064
Stub,756653307,Marc Elsen,Belgium,11211064
Stub,756653237,Joke Schauvliege,Belgium,11211064
Stub,756652817,Filip Anthuenis,Belgium,11211064
Stub,756652839,Francis Delpérée,Belgium,11211064
Start,756652780,Eric Van Rompuy,Belgium,11211064
Stub,756653868,Stefaan De Clerck,Belgium,11211064
Stub,756652884,Françoise Dupuis,Belgium,11211064
Stub,756652940,Hendrik Bogaert,Belgium,11211064
Stub,756652923,Guy Swennen,Belgium,11211064
Stub,756653094,Karel Uyttersprot,Belgium,11211064
Stub,756653189,Koenraad Degroote,Belgium,11211064
Stub,756653023,Jef Van Damme,Belgium,11211064
Stub,756652716,Dirk Van Mechelen,Belgium,11211064
Stub,756653039,John Crombez,Belgium,11211064
Start,756653869,Stefaan Van Hecke,Belgium,11211064
Start,756653572,Peter Vanvelthoven,Belgium,11211064
Stub,756653083,Jurgen Verstrepen,Belgium,11211064
Stub,756653563,Peter Dedecker,Belgium,11211064
Stub,756654076,Willy Segers,Belgium,11211064
Start,756653463,Patrick Janssens,Belgium,11211064
Stub,756653785,Pol Van Den Driessche,Belgium,11211064
Stub,756653020,Jean-Paul Procureur,Belgium,11211064
Stub,756653295,Manu Beuselinck,Belgium,11211064
Stub,756652964,Huub Broers,Belgium,11211064
Stub,756652789,Erik Tack,Belgium,11211064
Start,756652439,Boudewijn Bouckaert,Belgium,11211064
Start,756652282,Bart Laeremans,Belgium,11211064
Stub,756652596,Christophe Collignon,Belgium,11211064
Stub,756653457,Patrick De Groote,Belgium,11211064
Stub,756653898,Tom Van Grieken,Belgium,11211064
Stub,756653012,Jan Van Esbroeck,Belgium,11211064
Stub,756653017,Jean-Jacques De Gucht,Belgium,11211064
Stub,756653202,Kristof Calvo,Belgium,11211064
Start,756653009,Jan Peumans,Belgium,11211064
Stub,756652300,Bart Martens,Belgium,11211064
Stub,756653047,Joris Van Hauthem,Belgium,11211064
Stub,756653079,Jurgen Ceder,Belgium,11211064
Stub,756654111,Wouter Beke,Belgium,11211064
Stub,756654152,Yves Buysse,Belgium,11211064
Stub,756652490,Carl Devlies,Belgium,11211064
Stub,756653067,Josy Dubié,Belgium,11211064
Stub,756765147,Ann Vanheste,Belgium,11211064
Stub,756788395,Christine Defraigne,Belgium,11211064
Stub,756829201,Rita De Bont,Belgium,11211064
Stub,756819929,Joëlle Kapompolé,Belgium,11211064
Stub,756796369,Isabelle Simonis,Belgium,11211064
Stub,756830959,Sonja Becq,Belgium,11211064
Stub,756830992,Sophie De Wit,Belgium,11211064
Stub,756832885,Tine Eerlingen,Belgium,11211064
Start,756828011,Patricia Ceysens,Belgium,11211064
Stub,756824823,Magda De Galan,Belgium,11211064
Stub,757316630,Hervé Jamar,Belgium,11211064
Stub,757341346,Jeanne Driessen,Belgium,11211064
Stub,757613468,Nele Jansegers,Belgium,11211064
Stub,757613465,Freddy Van Gaever,Belgium,11211064
Stub,757613356,Richard Fournaux,Belgium,11211064
C,757615112,Frieda Van Themsche,Belgium,11211064
Stub,757613353,Jacques Vandenhaute,Belgium,11211064
Stub,757614032,Josly Piette,Belgium,11211064
Stub,757619992,Myriam Vanlerberghe,Belgium,11211064
Stub,757619948,Maya Detiège,Belgium,11211064
Stub,757619878,Lieve Maes,Belgium,11211064
Stub,757619807,Erika Thijs,Belgium,11211064
Start,757619775,Christine Van Broeckhoven,Belgium,11211064
Stub,757620050,Vera Dua,Belgium,11211064
Stub,757619983,Miranda Van Eetvelde,Belgium,11211064
Start,757619819,Fientje Moerman,Belgium,11211064
Stub,757620029,Sfia Bouarfa,Belgium,11211064
Stub,757619837,Ingeborg De Meulemeester,Belgium,11211064
Stub,757619821,Freya Piryns,Belgium,11211064
Stub,757620015,Sabine Poleyn,Belgium,11211064
Stub,757619879,Linda Vissers,Belgium,11211064
Start,757620042,Ulla Werbrouck,Belgium,11211064
Stub,757619893,Marie-Rose Morel,Belgium,11211064
Stub,757620025,Sabine de Bethune,Belgium,11211064
Start,757619767,Caroline Gennez,Belgium,11211064
Stub,757619784,Daphné Dumery,Belgium,11211064
Stub,757620046,Vera Celis,Belgium,11211064
Stub,757619996,Nadia Sminate,Belgium,11211064
Stub,757620012,Reinilde Van Moer,Belgium,11211064
Stub,757619981,Minneke De Ridder,Belgium,11211064
Stub,757619832,Inge Faes,Belgium,11211064
Stub,757620028,Sarah Smeyers,Belgium,11211064
Stub,757619907,Martine Taelman,Belgium,11211064
Stub,757620014,Sabine Laruelle,Belgium,11211064
Stub,757619903,Marleen Vanderpoorten,Belgium,11211064
Stub,757619804,Els Demol,Belgium,11211064
Stub,757619872,Liesbeth Homans,Belgium,11211064
Start,757665692,Marie-Christine Marghem,Belgium,11211064
Start,757665751,Sophie Wilmès,Belgium,11211064
Start,758463591,Dorah Ilunga,Belgium,11211064
Start,759327982,August De Boodt,Belgium,11211064
Stub,758858754,Paul Pastur,Belgium,11211064
Stub,760033764,Christian Dupont,Belgium,11211064
Start,759923211,Robert Rothschild,Belgium,11211064
Stub,760314345,Eugène Soudan,Belgium,11211064
Start,760400845,Mieke Vogels,Belgium,11211064
Start,760178310,Luc Michel,Belgium,11211064
Stub,760843609,Patrik Vankrunkelsven,Belgium,11211064
Start,761136225,Jef François,Belgium,11211064
Stub,761134925,Georges Vereeken,Belgium,11211064
Stub,761135477,Hippolyte Metdepenningen,Belgium,11211064
Start,765244243,Jules Bara,Belgium,11211064
Stub,765342598,Mathias De Clercq,Belgium,11211064
Stub,765868604,Olivier Kamitatu Etsu,Belgium,11211064
Start,765785754,Leona Detiège,Belgium,11211064
Stub,766436321,Marie-Hélène Crombé-Berton,Belgium,11211064
Start,766510758,Daniël Termont,Belgium,11211064
Start,766287917,Steve Stevaert,Belgium,11211064
Stub,767523826,Ferdinand Bischoffsheim,Belgium,11211064
Start,767483503,Elke Sleurs,Belgium,11211064
Stub,767474515,Paul Furlan,Belgium,11211064
Stub,768770887,Ingrid Lieten,Belgium,11211064
Start,769455575,Freddy Thielemans,Belgium,11211064
Stub,769503471,Dominique Tilmans,Belgium,11211064
Start,770250032,Hugo Coveliers,Belgium,11211064
Start,772424034,Jean Van Houtte,Belgium,11211064
Stub,772422738,Jules de Burlet,Belgium,11211064
Start,772423051,Gérard Cooreman,Belgium,11211064
Start,772423356,Aloys Van de Vyvere,Belgium,11211064
Start,772699930,Maurits Coppieters,Belgium,11211064
Stub,772618470,Robert J. Houben,Belgium,11211064
Stub,772632690,Danny Pieters,Belgium,11211064
Stub,772422843,Jules Vandenpeereboom,Belgium,11211064
C,772633475,Matthias Storme,Belgium,11211064
Stub,773103051,Lise Thiry,Belgium,11211064
Stub,773308031,Peter Luykx,Belgium,11211064
Stub,773709745,Erik Arckens,Belgium,11211064
Stub,773673552,Louis-François Verreycken,Belgium,11211064
Stub,774764765,Jane Brigode,Belgium,11211064
Stub,774996349,Alain Escada,Belgium,11211064
Stub,774758212,Steven Vandeput,Belgium,11211064
Start,775823600,Mahinur Ozdemir,Belgium,11211064
Start,776082794,Jan Jambon,Belgium,11211064
Stub,776824761,Albert Mechelynck,Belgium,11211064
Start,776862010,Johan C. Verbeke,Belgium,11211064
Start,776959657,Meyrem Almaci,Belgium,11211064
Stub,777423705,Philippe Mahoux,Belgium,11211064
Start,777498598,Freya Van den Bossche,Belgium,11211064
Start,777210565,Herman Baltia,Belgium,11211064
Stub,777758242,Jules Hiernaux,Belgium,11211064
Stub,777792239,Juliette Boulet,Belgium,11211064
Stub,777760506,Jules de Saint-Genois,Belgium,11211064
Start,778693454,Jacques Simonet,Belgium,11211064
Stub,779082207,Felix Strackx,Belgium,11211064
Stub,779082363,Flor Van Noppen,Belgium,11211064
Stub,779088689,Philippe Henry,Belgium,11211064
Stub,779088701,Philippe Muyters,Belgium,11211064
Stub,779081556,Ernest Adam,Belgium,11211064
Start,779273968,Ernest Burnelle,Belgium,11211064
Stub,779343641,Kris Van Dijck,Belgium,11211064
Stub,779207324,Kristien Van Vaerenbergh,Belgium,11211064
C,779576683,Julien Lahaut,Belgium,11211064
Stub,780275704,Leo Peeters,Belgium,11211064
Stub,780487440,Lies Jans,Belgium,11211064
Stub,780491049,Lieven Dehandschutter,Belgium,11211064
Start,780854503,René Lagrou,Belgium,11211064
Start,780880456,Ward Hermans,Belgium,11211064
Stub,780970489,Léo Collard,Belgium,11211064
Stub,781147846,Léon Delacroix,Belgium,11211064
C,781059773,Célestin Demblon,Belgium,11211064
Stub,781438759,Tommy Leclercq,Belgium,11211064
Stub,781373626,Edouard Osy de Zegwaart,Belgium,11211064
Stub,782045760,Édouard Close,Belgium,11211064
Stub,782368032,Louis Verreycken,Belgium,11211064
Start,782348347,Louis Tobback,Belgium,11211064
Start,782348322,Joseph Pholien,Belgium,11211064
Stub,782348231,Rik Daems,Belgium,11211064
Start,783058671,Prosper Poullet,Belgium,11211064
Stub,783339337,Marc Otte,Belgium,11211064
Stub,783374663,Werner van den Steen de Jehay,Belgium,11211064
Stub,783781238,Dirk Van der Maelen,Belgium,11211064
Start,783985213,Jules Renkin,Belgium,11211064
Stub,784036432,Matthias Diependaele,Belgium,11211064
Stub,784143763,Fernand Cocq,Belgium,11211064
Start,784450234,Marcel Storme,Belgium,11211064
Start,784925984,Theo Francken,Belgium,11211064
Start,785074873,Alain Courtois,Belgium,11211064
Start,785066959,Pascal Smet,Belgium,11211064
Stub,785305706,Vanessa Matz,Belgium,11211064
Stub,786162544,Anke Van dermeersch,Belgium,11211064
Start,786166594,Marie Janson,Belgium,11211064
Start,786305082,Ferry Carondelet,Belgium,11211064
C,786156223,Rudy Aernoudt,Belgium,11211064
